"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Glu","22",3.27,4.49,0.05,65.5,294.0052,"T",0,20,1,202.2296,1.4538188277087,0.05,50,NA,NA,72.6909413854352,72.6909413854352,0.2940052,"y",0.2022296,0.0001376634,26,8015331.07929134,1.7175011067936e-11
1,"Glu","23",3.51,4.49,0.05,70.2,315.2878,"T",100,20,1,202.2296,1.55905861456483,0.05,50,NA,NA,77.9529307282416,77.9529307282416,0.3152878,"y",0.2022296,0.0001695873,26,8015331.07929134,2.11578658850601e-11
1,"Glu","24",3.86,4.49,0.05,77.2,346.8076,"T",1000,20,1,202.2296,1.71492007104796,0.05,50,NA,NA,85.7460035523979,85.7460035523979,0.3468076,"y",0.2022296,0.000216867,26,8015331.07929134,2.70565242851046e-11
1,"Glu","25",3.45,4.49,0.05,69,309.8998,"T",0,22,1,202.2296,1.53241563055062,0.05,50,NA,NA,76.6207815275311,76.6207815275311,0.3098998,"y",0.2022296,0.0001615053,28,9122357.54912758,1.77043378458067e-11
1,"Glu","26",3.66,4.49,0.05,73.1,328.219,"T",100,22,1,202.2296,1.62300177619893,0.05,50,NA,NA,81.1500888099467,81.1500888099467,0.328219,"y",0.2022296,0.0001889841,28,9122357.54912758,2.07165854859606e-11
1,"Glu","27",3.93,4.49,0.05,78.5,352.465,"T",1000,22,1,202.2296,1.74289520426288,0.05,50,NA,NA,87.1447602131439,87.1447602131439,0.352465,"y",0.2022296,0.0002253531,28,9122357.54912758,2.47033838332232e-11
1,"Glu","28",3.96,4.49,0.05,79.1,355.159,"T",0,24,1,202.2296,1.75621669626998,0.05,50,NA,NA,87.8108348134991,87.8108348134991,0.355159,"y",0.2022296,0.0002293941,30,10336548.2777019,2.21925244130917e-11
1,"Glu","29",4.03,4.49,0.05,80.5,361.5348,"T",100,24,1,202.2296,1.78774422735346,0.05,50,NA,NA,89.3872113676732,89.3872113676732,0.3615348,"y",0.2022296,0.0002389578,30,10336548.2777019,2.31177559065324e-11
1,"Glu","30",3.77,4.49,0.05,75.4,338.7256,"T",1000,24,1,202.2296,1.67495559502664,0.05,50,NA,NA,83.7477797513321,83.7477797513321,0.3387256,"y",0.2022296,0.000204744,30,10336548.2777019,1.9807772817322e-11
1,"Gly","1",4.13,3.62,0.05,82.5,298.7224,"TM",0,16,1,230.1234,1.29809658644014,0.25,250,NA,NA,324.524146610036,324.524146610036,0.2987224,"y",0.2301234,0.0001028985,22,6085415.94208765,1.6909033167041e-11
